vvento,N,ang_virab,pressao,VPP
"3,5","17,37","2,20586779","0,41151837","0,6009"
"3,5","17,37","2,22138346","0,43014694","0,6009"
"3,5","17,37","2,23689913","0,44909388","0,6009"
"3,5","17,37","2,25241480","0,46819592","0,6009"
"3,5","17,37","2,26793047","0,48738776","0,6009"
"3,5","17,37","2,28344614","0,50666939","0,6009"
"3,5","17,37","2,29896181","0,52599184","0,6009"
"3,5","17,37","2,31447748","0,54517551","0,6009"
"3,5","17,37","2,32999315","0,56354286","0,6009"
"3,5","17,37","2,34550882","0,58187755","0,6009"
"3,5","17,37","2,36102449","0,60018776","0,6009"
"3,5","17,37","2,37654016","0,61859592","0,6009"
"3,5","17,37","2,39205582","0,63697143","0,6009"
"3,5","17,37","2,40757149","0,65574694","0,6009"
"3,5","17,37","2,42308716","0,67435102","0,6009"
"3,5","17,37","2,43860283","0,69280000","0,6009"
"3,5","17,37","2,45411850","0,71098776","0,6009"
"3,5","17,37","2,46963417","0,72878367","0,6009"
"3,5","17,37","2,48514984","0,74640816","0,6009"
"3,5","17,37","2,50066551","0,76355102","0,6009"
"3,5","17,37","2,51618118","0,78045714","0,6009"
"3,5","17,37","2,53169685","0,79702041","0,6009"
"3,5","17,37","2,54721252","0,81325714","0,6009"
"3,5","17,37","2,56272818","0,82914286","0,6009"
"3,5","17,37","2,57824385","0,84461224","0,6009"
"3,5","17,37","2,59375952","0,85963265","0,6009"
"3,5","17,37","2,60927519","0,87421224","0,6009"
"3,5","17,37","2,62479086","0,88813061","0,6009"
"3,5","17,37","2,64030653","0,90151837","0,6009"
"3,5","17,37","2,65582220","0,91404082","0,6009"
"3,5","17,37","2,67133787","0,92573878","0,6009"
"3,5","17,37","2,68685354","0,93693878","0,6009"
"3,5","17,37","2,70236921","0,94767347","0,6009"
"3,5","17,37","2,71788488","0,95777959","0,6009"
"3,5","17,37","2,73340055","0,96736327","0,6009"
"3,5","17,37","2,74891621","0,97628571","0,6009"
